player_name,rain_group,games,AB,H,season_avg,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
안중열,비없음,47,101,18,0.19696969696969696,0.1782178217821782,-0.01875187518751875,10.04987562112089,-0.18845401329734643,0.18845401329734643
안치홍,비,26,73,17,0.3153153153153153,0.2328767123287671,-0.0824386029865482,8.54400374531753,-0.7043557326758128,0.7043557326758128
안치홍,비없음,69,260,88,0.3153153153153153,0.3384615384615385,0.023146223146223166,16.1245154965971,0.3732216338089699,0.3732216338089699
양성우,비,14,32,6,0.1743119266055046,0.1875,0.013188073394495403,5.656854249492381,0.07460300902426872,0.07460300902426872
양성우,비없음,34,77,13,0.1743119266055046,0.16883116883116883,-0.005480757774335765,8.774964387392123,-0.04809345428571885,0.04809345428571885
양의지,비,25,89,30,0.35149863760217986,0.33707865168539325,-0.014419985916786615,9.433981132056603,-0.13603787506348686,0.13603787506348686
양의지,비없음,83,278,99,0.35149863760217986,0.35611510791366907,0.004616470311489207,16.673332000533065,0.07697194217406385,0.07697194217406385
오선진,비,27,88,18,0.22193211488250653,0.20454545454545456,-0.017386660337051968,9.38083151964686,-0.163101331311211,0.163101331311211
오선진,비없음,87,295,67,0.22193211488250653,0.2271186440677966,0.005186529185290084,17.175564037317667,0.08908156415336686,0.08908156415336686
오윤석,비,13,46,9,0.2198952879581152,0.1956521739130435,-0.024243114045071706,6.782329983125268,-0.16442479927221515,0.16442479927221515
오윤석,비없음,49,145,33,0.2198952879581152,0.22758620689655173,0.007690918938436542,12.041594578792296,0.09261092779500846,0.09261092779500846
오재원,비,15,33,5,0.17105263157894737,0.15151515151515152,-0.019537480063795853,5.744562646538029,-0.11223427818196308,0.11223427818196308
오재원,비없음,49,119,21,0.17105263157894737,0.17647058823529413,0.005417956656346756,10.908712114635714,0.05910292941366106,0.05910292941366106
오재일,비,25,98,26,0.2962962962962963,0.2653061224489796,-0.03099017384731667,9.899494936611665,-0.30678706908622666,0.30678706908622666
