gameinfo,year,id,team,inning1,inning2,inning3,inning4,inning5,inning6,inning7,inning8,inning9,inning10,inning11,inning12,H,AB,AVG,R,RBI,game_date,player_name,team_2019,opponent,team_H,team_HR,team_RBI,team_RUN,team_OBP,team_win,home_team,region,temperature,rainfall,wind_speed,humidity,pressure,ground_temp
20190402HTSS0,2019,69453,SS,0,0,7003,0,7005,0,7100,0,7101,0,0,0,0,4,0,1,0,2019-04-02,이학주,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,62415,SS,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019-04-02,박해민,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,66838,SS,0,0,0,0,1017,0,1019,0,7001,0,0,0,2,3,0,0,0,2019-04-02,김동엽,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402WONC0,2019,67341,WO,7100,0,2000,0,1019,0,7006,0,1021,0,0,0,2,5,0,1,0,2019-04-02,이정후,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,78168,WO,3000,0,0,7002,7101,0,1201,0,7403,0,0,0,1,4,0,0,0,2019-04-02,서건창,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,67304,WO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-02,김혜성,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,64300,WO,7003,0,0,1011,2000,0,2000,0,1116,0,0,0,2,5,0,2,1,2019-04-02,김하성,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,68345,WO,7001,0,0,1019,0,1017,0,3000,3000,0,0,0,2,3,0,3,0,2019-04-02,샌즈,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,79334,WO,0,2000,0,1301,0,1017,0,2000,7107,0,0,0,2,5,0,1,3,2019-04-02,장영석,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,64346,WO,0,2000,0,2000,0,2000,0,0,0,0,0,0,0,3,0,0,0,2019-04-02,임병욱,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,62356,WO,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,1,0,2019-04-02,김규민,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,65399,WO,0,7400,0,1017,0,7006,0,0,0,0,0,0,1,3,0,0,0,2019-04-02,허정협,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,75125,WO,0,0,0,0,0,0,0,1018,0,0,0,0,1,1,0,0,1,2019-04-02,박병호,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,62353,WO,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,1,2019-04-02,박정음,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,65357,WO,0,0,2000,2000,0,1011,0,1007,2000,0,0,0,2,5,0,0,2,2019-04-02,송성문,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,79456,WO,0,0,7003,0,2000,7101,0,7212,0,0,0,0,0,4,0,0,0,2019-04-02,이지영,키움,NC,13.0,1.0,8.0,8.0,0.431818182,1.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
20190402WONC0,2019,60566,NC,1017,0,1011,0,7304,0,7100,0,2000,0,0,0,2,5,0,1,0,2019-04-02,이상호,NC,WO,11.0,0.0,5.0,6.0,0.35,0.0,NC,창원,8.145833333333334,0.0,2.0416666666666665,35.666666666666664,1017.0666666666666,11.970833333333333
